station,chla_surf,diss_o_surf,ph_surf,salinity_surf,turbidity_surf,temp_surf,suspended_solids_surf,nitrates_surf,chla_bott,diss_o_bott,ph_bott,salinity_bott,turbidity_bott,temp_bott,suspended_solids_bott,nitrates_bott,temp_delta,latitude,longitude,depth_m
EM1,8.487671232876712,5.538356164383562,8.080821917808219,29.92808219178082,5.749315068493151,26.754794520547943,4.314383561643836,0.28212328767123285,2.9280821917808217,4.360958904109589,8.018493150684932,32.70616438356165,7.823972602739726,24.816438356164383,6.645890410958904,0.18972602739726027,-1.9383561643835616,22.2751,114.2555833,16
EM2,7.8381944444444445,5.894444444444444,8.10625,30.00347222222222,5.7875,26.930555555555557,4.175694444444444,0.2427777777777778,2.053472222222222,4.331944444444444,8.0125,33.261805555555554,8.384027777777778,24.472916666666666,6.456944444444444,0.14444444444444446,-2.457638888888889,22.2622,114.2661833,21
EM3,6.713768115942029,6.292753623188406,8.146376811594203,30.297101449275363,5.369565217391305,27.140579710144927,3.33768115942029,0.18065217391304347,1.7536231884057971,4.3963768115942035,8.02536231884058,33.583333333333336,7.29927536231884,24.08913043478261,4.873913043478261,0.10652173913043479,-3.051449275362319,22.23728333,114.2690667,21
ET1,8.778260869565218,5.7956521739130435,7.995652173913044,29.643478260869564,5.308695652173912,27.713043478260868,5.01304347826087,0.2573913043478261,6.947826086956522,5.269565217391304,7.939130434782609,30.87391304347826,5.01304347826087,26.82608695652174,7.221739130434782,0.21956521739130433,-0.8869565217391312,22.27005,114.2437333,6
ET2,5.3826086956521735,5.021739130434782,7.843478260869565,28.904347826086955,6.0260869565217385,27.495652173913044,4.269565217391304,0.3991304347826087,2.5695652173913044,3.0565217391304347,7.778260869565218,32.30434782608695,5.639130434782608,25.452173913043477,4.6869565217391305,0.26652173913043475,-2.0434782608695654,22.28463333,114.2297167,12
MM1,10.981081081081081,7.023423423423424,8.227027027027027,29.559459459459458,7.090990990990991,29.115315315315318,4.426126126126126,0.09792792792792793,5.402702702702703,5.553153153153153,8.08918918918919,31.35855855855856,7.528828828828829,27.48378378378378,5.805405405405406,0.10387387387387388,-1.6315315315315317,22.54973333,114.23785,6
MM13,6.469565217391304,7.0895652173913035,8.225217391304348,29.566086956521737,5.734782608695652,28.202608695652174,2.493913043478261,0.1282608695652174,1.328695652173913,4.79304347826087,8.02608695652174,34.08608695652174,9.040869565217392,23.511304347826087,6.799130434782609,0.07947826086956522,-4.691304347826087,22.21666667,114.4486667,28
MM14,5.582828282828284,6.785858585858586,8.195959595959597,30.710101010101013,4.858585858585859,27.863636363636363,2.4505050505050505,0.0704040404040404,1.303030303030303,4.654545454545454,8.013131313131312,34.005050505050505,8.22929292929293,23.810101010101008,6.114141414141414,0.07555555555555556,-4.053535353535354,22.29266667,114.4486667,25
MM15,1.804950495049505,6.364356435643564,8.165346534653466,31.112871287128712,4.575247524752475,28.385148514851487,2.004950495049505,0.03861386138613861,1.201980198019802,4.532673267326733,7.993069306930693,33.93069306930693,8.267326732673267,23.94950495049505,5.795049504950494,0.07683168316831683,-4.435643564356436,22.36866667,114.4486667,24
MM16,1.6320388349514563,6.319417475728155,8.155339805825243,30.94466019417476,4.8174757281553395,28.619417475728156,1.974757281553398,0.032135922330097086,1.3388349514563107,4.2407766990291265,7.98252427184466,33.83398058252427,7.755339805825242,24.17378640776699,5.554368932038835,0.08601941747572815,-4.445631067961165,22.4445,114.4486667,22
MM17,2.9375,6.418125000000001,8.260625000000001,30.614375000000003,3.4943750000000002,28.5425,2.138125,0.045,1.7625,3.6412500000000003,8.03,33.4625,5.21125,24.494374999999998,3.5162500000000003,0.10018750000000001,-4.048125000000001,22.5032,114.3493333,17
MM19,5.922093023255814,6.796511627906977,8.182558139534883,31.240697674418602,7.0,27.710465116279067,2.474418604651163,0.0652325581395349,0.9302325581395349,4.180232558139535,7.982558139534884,34.03604651162791,9.23953488372093,23.759302325581395,5.826744186046512,0.08918604651162791,-3.9511627906976745,22.26535,114.3235167,28
MM2,4.027927927927928,6.557657657657657,8.23873873873874,30.116216216216216,5.692792792792792,29.018918918918917,2.8423423423423424,0.050810810810810805,2.8945945945945946,4.404504504504504,8.017117117117117,32.5009009009009,5.778378378378378,26.325225225225225,3.5576576576576575,0.10288288288288289,-2.6936936936936937,22.54376667,114.2774667,11
MM3,3.1954954954954955,6.351351351351352,8.224324324324325,30.37837837837838,4.757657657657658,28.974774774774772,2.4594594594594597,0.05144144144144144,2.0306306306306308,3.8468468468468466,7.961261261261262,33.25315315315315,8.519819819819821,25.12342342342342,5.554054054054054,0.11171171171171171,-3.8513513513513513,22.5619,114.31025,16
MM4,2.218018018018018,6.235135135135136,8.208108108108108,30.68108108108108,4.036036036036036,28.739639639639638,2.164864864864865,0.04684684684684685,1.9756756756756757,4.059459459459459,7.973873873873874,33.41261261261261,6.600900900900902,24.823423423423424,3.9792792792792793,0.09711711711711711,-3.9162162162162164,22.56361667,114.35805,18
MM5,1.9432432432432432,6.174774774774774,8.194594594594594,30.744144144144144,3.7882882882882885,28.63963963963964,2.125225225225225,0.043423423423423424,1.8981981981981981,3.8783783783783785,7.957657657657657,33.59549549549549,7.225225225225225,24.413513513513514,4.59009009009009,0.09495495495495496,-4.226126126126126,22.52055,114.3938833,20
MM6,2.7324324324324327,6.187387387387387,8.119819819819819,30.654054054054054,4.10990990990991,28.433333333333334,2.161261261261261,0.044684684684684686,2.811711711711712,4.574774774774775,7.972972972972973,32.74954954954955,4.899099099099098,25.967567567567567,2.936936936936937,0.08756756756756758,-2.4657657657657657,22.45556667,114.34995,12
