"Water Control Zone","Station","Dates","Sample No","Depth","Chlorophyll-a (μg/L)","Dissolved Oxygen (mg/L)","pH","Salinity (psu)","Turbidity (NTU)","Temperature (°C)","Suspended Solids (mg/L)","Total Inorganic Nitrogen (mg/L)"
"Tolo Harbour and Channel","TM3","2014-10-27","1","Middle Water","9.7","8","8.1","32.3","0.8","27.3","4.2","0.16"
"Tolo Harbour and Channel","TM3","2014-10-27","1","Bottom Water","6.6","4.3","8","32.8","0.8","27.5","2.4","0.06"
"Tolo Harbour and Channel","TM3","2014-11-21","1","Surface Water","18","4.9","8.4","32.4","1","24","2.8","0.02"
"Tolo Harbour and Channel","TM3","2014-11-21","1","Middle Water","18","10.7","8.4","32.4","1","24","3","0.02"
"Tolo Harbour and Channel","TM3","2014-11-21","1","Bottom Water","14","8.6","8.3","32.5","1","23.9","23","0.09"
"Tolo Harbour and Channel","TM3","2014-12-11","1","Surface Water","9.5","5.8","7.8","32.5","1.6","20.9","2.1","0.17"
"Tolo Harbour and Channel","TM3","2014-12-11","1","Middle Water","4.5","6.7","7.8","32.7","1.6","21","1.5","0.12"
"Tolo Harbour and Channel","TM3","2014-12-11","1","Bottom Water","4","5.3","7.8","32.8","2.4","21.1","13","0.12"
"Tolo Harbour and Channel","TM3","2015-01-21","1","Surface Water","5","5.5","8.1","31.5","4","17.3","0.9","0.1"
"Tolo Harbour and Channel","TM3","2015-01-21","1","Middle Water","4.4","9.1","8","31.6","4.1","17.4","1.2","0.09"
"Tolo Harbour and Channel","TM3","2015-01-21","1","Bottom Water","1.9","8.8","8","31.7","4","17.4","1.5","0.08"
"Tolo Harbour and Channel","TM3","2015-02-23","1","Surface Water","13","6.9","8.2","31.3","1.3","18.8","3","0.01"
"Tolo Harbour and Channel","TM3","2015-02-23","1","Middle Water","15","10.4","8.2","31.4","1.2","18.6","1","0.01"
"Tolo Harbour and Channel","TM3","2015-02-23","1","Bottom Water","8.9","8.6","8.1","31.6","1.1","18.1","2.2","<0.01"
"Tolo Harbour and Channel","TM3","2015-03-23","1","Surface Water","14","6.9","8.4","30.9","1.4","21.2","4.6","0.04"
"Tolo Harbour and Channel","TM3","2015-03-23","1","Middle Water","11","10.6","8.4","31","1.4","21.1","2.6","0.02"
"Tolo Harbour and Channel","TM3","2015-03-23","1","Bottom Water","3.7","9","8.2","31.4","1.2","20.2","3.2","0.02"
"Tolo Harbour and Channel","TM3","2015-04-15","1","Surface Water","1.7","6.9","8","31","1.9","23.1","1.8","0.02"
"Tolo Harbour and Channel","TM3","2015-04-15","1","Middle Water","2.3","7.9","8","31.8","1.6","22","14","0.02"
"Tolo Harbour and Channel","TM3","2015-04-15","1","Bottom Water","3.2","4.9","7.8","32.5","1.7","20.7","1.2","0.05"
"Tolo Harbour and Channel","TM3","2015-05-21","1","Surface Water","3.3","5.7","8","22","8.8","25.8","7.2","0.3"
"Tolo Harbour and Channel","TM3","2015-05-21","1","Middle Water","3.1","5.8","8","25.4","6.3","26.1","2.9","0.19"
"Tolo Harbour and Channel","TM3","2015-05-21","1","Bottom Water","2.6","5.2","8","30.2","4","26.4","1.4","0.13"
"Tolo Harbour and Channel","TM3","2015-06-25","1","Surface Water","19","6.6","8.3","26.3","2.8","28.6","2.3","0.27"
"Tolo Harbour and Channel","TM3","2015-06-25","1","Middle Water","15","6.8","8.2","28.1","2.3","28.8","1.4","0.22"
"Tolo Harbour and Channel","TM3","2015-06-25","1","Bottom Water","7.9","6.5","8.2","29.3","2.2","28.8","1.1","0.17"
"Tolo Harbour and Channel","TM3","2015-07-08","1","Surface Water","1.9","6.3","8.3","32.2","2.7","30.2","1.7","0.04"
"Tolo Harbour and Channel","TM3","2015-07-08","1","Middle Water","2.3","6.9","8.3","32.2","2.6","30.2","0.9","0.03"
"Tolo Harbour and Channel","TM3","2015-07-08","1","Bottom Water","1.5","5.9","8.2","32.4","2.7","29.3","11","0.06"
"Tolo Harbour and Channel","TM3","2015-08-12","1","Surface Water","8.3","5.2","8","32.1","3","29.9","2.6","0.04"
"Tolo Harbour and Channel","TM3","2015-08-12","1","Middle Water","4.4","8","8","32.4","2.7","29.2","1.6","0.03"
"Tolo Harbour and Channel","TM3","2015-08-12","1","Bottom Water","3.7","6","7.9","33","2.6","28.1","2.2","0.03"
"Tolo Harbour and Channel","TM3","2015-09-18","1","Surface Water","4","7.1","8.3","31.9","2.7","29.5","2.1","0.03"
"Tolo Harbour and Channel","TM3","2015-09-18","1","Middle Water","1.4","6.9","8.2","32.2","2.6","29.2","1.8","0.03"
"Tolo Harbour and Channel","TM3","2015-09-18","1","Bottom Water","3.2","5","8.1","32.9","2.5","28.9","8.1","0.03"
"Tolo Harbour and Channel","TM3","2015-10-09","1","Surface Water","19","7.9","8","28.2","3.4","28","4.4","0.1"
"Tolo Harbour and Channel","TM3","2015-10-09","1","Middle Water","5.2","5.9","7.9","32","3.1","28.6","2.9","0.16"
"Tolo Harbour and Channel","TM3","2015-10-09","1","Bottom Water","2.9","4","7.8","32.5","3.3","28.6","13","0.15"
"Tolo Harbour and Channel","TM3","2015-11-19","1","Surface Water","4.1","7.6","7.9","31.5","3.2","26.8","0.9","0.1"
"Tolo Harbour and Channel","TM3","2015-11-19","1","Middle Water","11","8.7","7.9","32","2.7","26.3","2","0.06"
"Tolo Harbour and Channel","TM3","2015-11-19","1","Bottom Water","16","4.3","7.7","32.7","3.3","25.7","1.8","0.1"
"Tolo Harbour and Channel","TM3","2015-12-18","1","Surface Water","13","7.3","7.8","32.1","4.2","19.6","3.5","0.06"
"Tolo Harbour and Channel","TM3","2015-12-18","1","Middle Water","13","8","7.8","32.1","3.9","19.6","8.6","0.07"
"Tolo Harbour and Channel","TM3","2015-12-18","1","Bottom Water","13","7.9","7.8","32.2","4","19.6","4.4","0.06"
"Tolo Harbour and Channel","TM3","2016-01-14","1","Surface Water","21","9.2","8.1","29.8","3.3","19","2.6","0.12"
"Tolo Harbour and Channel","TM3","2016-01-14","1","Middle Water","35","11.7","8.1","30.2","3.5","19.2","4.6","0.2"
"Tolo Harbour and Channel","TM3","2016-01-14","1","Bottom Water","14","6.3","7.8","31.7","2.8","19.9","11","0.09"
"Tolo Harbour and Channel","TM3","2016-02-19","1","Surface Water","12","8.7","7.8","29.2","3","15.6","2.5","0.05"
"Tolo Harbour and Channel","TM3","2016-02-19","1","Middle Water","7.4","10.6","7.9","29.5","2.8","15.8","1.9","0.09"
"Tolo Harbour and Channel","TM3","2016-02-19","1","Bottom Water","4.1","5.3","7.6","30.8","3.4","16.1","2.6","0.1"
"Tolo Harbour and Channel","TM3","2016-03-18","1","Surface Water","0.8","6.6","8.1","30.1","0.7","16.4","0.5","0.16"
"Tolo Harbour and Channel","TM3","2016-03-18","1","Middle Water","0.6","5.7","8.1","30","0.6","16.4","0.9","0.16"
"Tolo Harbour and Channel","TM3","2016-03-18","1","Bottom Water","3.3","5","8.1","30.1","1.3","16.4","3.6","0.13"
"Tolo Harbour and Channel","TM3","2016-04-14","1","Surface Water","29","6.4","8","25.1","3","21.2","9","0.7"
"Tolo Harbour and Channel","TM3","2016-04-14","1","Middle Water","4.8","6.6","8.1","29.9","0.4","20.3","4","0.09"
"Tolo Harbour and Channel","TM3","2016-04-14","1","Bottom Water","1","5.2","7.9","30.9","0.3","19","1.6","0.07"
"Tolo Harbour and Channel","TM3","2016-05-11","1","Surface Water","7.6","7.4","7.7","22.8","6.8","25","8.9","0.5"
"Tolo Harbour and Channel","TM3","2016-05-11","1","Middle Water","11","7.3","7.7","29","1.5","25.6","3.2","0.11"
"Tolo Harbour and Channel","TM3","2016-05-11","1","Bottom Water","6","5.5","7.6","30.5","0.9","23.2","3.8","0.08"
"Tolo Harbour and Channel","TM3","2016-06-13","1","Surface Water","4.8","7","8.3","27.5","1.3","27.7","1","0.09"
"Tolo Harbour and Channel","TM3","2016-06-13","1","Middle Water","2.7","5.4","8.1","27.5","0.8","27.7","1.4","0.07"
"Tolo Harbour and Channel","TM3","2016-06-13","1","Bottom Water","0.6","4.6","8","27.5","0.9","27.7","0.8","0.07"
"Tolo Harbour and Channel","TM3","2016-07-18","1","Surface Water","8.6","5.7","8","30.7","3.4","29.9","4","0.04"
"Tolo Harbour and Channel","TM3","2016-07-18","1","Middle Water","6.6","5.8","8","31.6","1.6","28.9","2.8","0.02"
"Tolo Harbour and Channel","TM3","2016-07-18","1","Bottom Water","13","5.8","7.7","34","1.7","25.6","4.6","0.08"
"Tolo Harbour and Channel","TM3","2016-08-19","1","Surface Water","20","6.9","8.5","24.2","2.8","28.2","3.2","0.07"
"Tolo Harbour and Channel","TM3","2016-08-19","1","Middle Water","9.6","6.9","8.1","25","1.5","28.1","2.3","0.06"
"Tolo Harbour and Channel","TM3","2016-08-19","1","Bottom Water","1.7","7.2","7.9","30.8","0.8","27.8","1.5","0.04"
"Tolo Harbour and Channel","TM3","2016-09-29","1","Surface Water","3.4","6.6","7.7","31.9","41.8","28.3","1.2","0.09"
"Tolo Harbour and Channel","TM3","2016-09-29","1","Middle Water","3.6","3.2","7.7","31.8","1.3","28.3","1.5","0.08"
"Tolo Harbour and Channel","TM3","2016-09-29","1","Bottom Water","2.4","3.2","7.6","31.8","1.6","28.3","0.7","0.08"
"Tolo Harbour and Channel","TM3","2016-10-13","1","Surface Water","2.9","5.6","7.9","29.2","1.2","27.2","1.2","0.08"
"Tolo Harbour and Channel","TM3","2016-10-13","1","Middle Water","3.2","6.7","7.9","29.3","1","27.1","2","0.05"
"Tolo Harbour and Channel","TM3","2016-10-13","1","Bottom Water","2.5","4.3","7.5","31.2","1.5","28.7","1.1","0.06"
"Tolo Harbour and Channel","TM3","2016-11-10","1","Surface Water","6.5","4.9","7.6","30.3","3.3","25.7","1.8","0.11"
"Tolo Harbour and Channel","TM3","2016-11-10","1","Middle Water","5.1","4.7","7.6","30.4","0.8","25.9","1.2","0.1"
"Tolo Harbour and Channel","TM3","2016-11-10","1","Bottom Water","3.2","4.1","7.5","31","1.9","26.2","2.5","0.14"
"Tolo Harbour and Channel","TM3","2016-12-12","1","Surface Water","10","7.6","8.1","29.7","3.1","22.5","3.1","0.06"
"Tolo Harbour and Channel","TM3","2016-12-12","1","Middle Water","8","7.8","8.1","29.7","3.4","22.3","3.4","0.06"
"Tolo Harbour and Channel","TM3","2016-12-12","1","Bottom Water","6.2","7.1","8.1","30.3","2.7","22.3","4.5","0.08"
"Tolo Harbour and Channel","TM3","2017-01-18","1","Surface Water","0.6","5","8","29.9","4.4","19.2","2.2","0.19"
"Tolo Harbour and Channel","TM3","2017-01-18","1","Middle Water","1.2","5.5","8","30.1","1.8","19.3","2.6","0.15"
"Tolo Harbour and Channel","TM3","2017-01-18","1","Bottom Water","0.7","5.3","8","30.2","1.3","19.3","2.2","0.13"
"Tolo Harbour and Channel","TM3","2017-02-20","1","Surface Water","4.2","6.8","7.7","29.8","3.7","20.3","4.2","0.05"
"Tolo Harbour and Channel","TM3","2017-02-20","1","Middle Water","4","7.8","7.7","30.3","2.8","19.3","1.8","0.02"
"Tolo Harbour and Channel","TM3","2017-02-20","1","Bottom Water","1.8","7.6","7.7","30.5","2.9","18.8","3.2","0.03"
"Tolo Harbour and Channel","TM3","2017-03-10","1","Surface Water","6.4","8","7.8","30.2","2.5","18.5","1.5","0.05"
"Tolo Harbour and Channel","TM3","2017-03-10","1","Middle Water","4.2","8.1","7.8","30.2","2.5","18.5","1.4","0.06"
"Tolo Harbour and Channel","TM3","2017-03-10","1","Bottom Water","1.7","7.5","7.7","30.6","2.4","18.3","1.4","0.06"
"Tolo Harbour and Channel","TM3","2017-04-05","1","Surface Water","1.3","6.3","8","29.7","2.1","21.9","4.2","0.19"
"Tolo Harbour and Channel","TM3","2017-04-05","1","Middle Water","0.5","7","8","30.5","0.3","20.9","8.1","0.12"
"Tolo Harbour and Channel","TM3","2017-04-05","1","Bottom Water","1.8","7.2","8","31.2","0.7","19.5","7.5","0.12"
"Tolo Harbour and Channel","TM3","2017-05-19","1","Surface Water","6","7.5","8.3","29.1","4.5","26.1","10","0.08"
"Tolo Harbour and Channel","TM3","2017-05-19","1","Middle Water","3.6","7.3","8.3","29.4","0.7","26.1","0.7","0.06"
"Tolo Harbour and Channel","TM3","2017-05-19","1","Bottom Water","2.1","6.7","8.2","31.9","0.4","26.2","0.6","0.06"
"Tolo Harbour and Channel","TM3","2017-06-14","1","Surface Water","5.5","5.3","7.9","30.5","1.2","29.2","4.1","0.4"
"Tolo Harbour and Channel","TM3","2017-06-14","1","Middle Water","3.2","4.7","7.9","31.6","0.8","29.4","2","0.14"
"Tolo Harbour and Channel","TM3","2017-06-14","1","Bottom Water","0.9","4.5","7.9","32","1.4","29","2.4","0.09"
"Tolo Harbour and Channel","TM3","2017-07-12","1","Surface Water","8.2","9.6","8.3","26.3","1.4","31.1","3.1","0.05"
"Tolo Harbour and Channel","TM3","2017-07-12","1","Middle Water","11","10.6","8.3","28.4","1.2","29.8","1.7","0.05"
"Tolo Harbour and Channel","TM3","2017-07-12","1","Bottom Water","1.9","3.6","7.9","31.8","1.1","27.4","1.6","0.17"
"Tolo Harbour and Channel","TM3","2017-08-18","1","Surface Water","3.2","5.5","8.2","32.7","0.7","29.1","2.2","0.01"
"Tolo Harbour and Channel","TM3","2017-08-18","1","Middle Water","3.4","5.8","8.1","33.3","1.1","27.7","8.9","0.02"
"Tolo Harbour and Channel","TM3","2017-08-18","1","Bottom Water","7.1","5.1","7.9","33.9","5.1","25.2","4","0.06"
"Tolo Harbour and Channel","TM3","2017-09-20","1","Surface Water","1.7","7.2","8","29.9","1.2","31.3","11","0.09"
"Tolo Harbour and Channel","TM3","2017-09-20","1","Middle Water","2.3","7.6","8.1","30.2","0.9","30.8","9.7","0.03"
"Tolo Harbour and Channel","TM3","2017-09-20","1","Bottom Water","1.8","7.3","8","30.6","0.9","30.4","11","0.02"
"Tolo Harbour and Channel","TM3","2017-10-19","1","Surface Water","5.2","7.4","7.8","27.8","0.8","27.6","6.2","0.18"
"Tolo Harbour and Channel","TM3","2017-10-19","1","Middle Water","1.4","5.6","7.8","29.3","0.6","28.1","5","0.12"
"Tolo Harbour and Channel","TM3","2017-10-19","1","Bottom Water","1.3","4.2","7.7","30.5","0.5","28.2","5.3","0.11"
"Tolo Harbour and Channel","TM3","2017-11-17","1","Surface Water","8.7","5.8","8.2","31","6.6","25.1","3.3","0.01"
"Tolo Harbour and Channel","TM3","2017-11-17","1","Middle Water","7.7","5.2","8.2","31.1","6","25.1","1.7","0.01"
"Tolo Harbour and Channel","TM3","2017-11-17","1","Bottom Water","5.2","5.4","8.2","31.5","6.4","24.9","2.6","0.07"
"Tolo Harbour and Channel","TM3","2017-12-09","1","Surface Water","21","7.7","8","32","1.2","21.2","4.9","0.02"
"Tolo Harbour and Channel","TM3","2017-12-09","1","Middle Water","19","8","8","32","1.2","21.3","5.6","0.01"
"Tolo Harbour and Channel","TM3","2017-12-09","1","Bottom Water","15","5.7","7.8","32.6","3.7","22.2","11","0.09"
"Tolo Harbour and Channel","TM3","2018-01-10","1","Surface Water","1.8","6.1","8","31.6","15.1","16.8","8.7","0.08"
"Tolo Harbour and Channel","TM3","2018-01-10","1","Middle Water","1.6","5.4","8","31.7","12.6","17.4","11","0.09"
"Tolo Harbour and Channel","TM3","2018-01-10","1","Bottom Water","1.5","5.4","8","31.7","11.6","17.5","9.2","0.09"
"Tolo Harbour and Channel","TM3","2018-02-26","1","Surface Water","7.1","8.7","7.7","31.5","0.2","17.8","4.2","0.06"
"Tolo Harbour and Channel","TM3","2018-02-26","1","Middle Water","4.7","8.6","7.7","31.6","0.3","17.7","6","0.05"
"Tolo Harbour and Channel","TM3","2018-02-26","1","Bottom Water","4.2","8.3","7.7","31.7","0.1","17.5","8.8","0.06"
"Tolo Harbour and Channel","TM3","2018-03-09","1","Surface Water","4","7.8","8.2","31.3","6.9","18.6","2.5","0.06"
"Tolo Harbour and Channel","TM3","2018-03-09","1","Middle Water","4.8","7.9","8.2","31.5","3.3","18.7","2.7","0.04"
"Tolo Harbour and Channel","TM3","2018-03-09","1","Bottom Water","3.8","8.1","8.3","31.5","5.3","18.4","3.6","0.04"
"Tolo Harbour and Channel","TM3","2018-04-20","1","Surface Water","11","7.7","8.3","31.8","1.8","23.4","9.4","0.04"
"Tolo Harbour and Channel","TM3","2018-04-20","1","Middle Water","8.1","7.8","8.3","31.8","1.1","23.3","8","0.04"
"Tolo Harbour and Channel","TM3","2018-04-20","1","Bottom Water","4.4","6.3","8.1","32.6","1","22.4","9.1","0.04"
"Tolo Harbour and Channel","TM3","2018-05-21","1","Surface Water","4.2","6","8.4","32.4","1","29.9","2.1","0.02"
"Tolo Harbour and Channel","TM3","2018-05-21","1","Middle Water","1.8","7.5","8.3","32.6","0.9","28.6","8.4","0.02"
"Tolo Harbour and Channel","TM3","2018-05-21","1","Bottom Water","1.9","5.8","8.2","32.9","0.7","26.7","1.8","0.02"
"Tolo Harbour and Channel","TM3","2018-06-27","1","Surface Water","13","6.5","7.9","26.3","4.6","31.3","4","0.05"
"Tolo Harbour and Channel","TM3","2018-06-27","1","Middle Water","15","9.3","7.8","29.6","1","29.9","3","0.06"
"Tolo Harbour and Channel","TM3","2018-06-27","1","Bottom Water","21","8.1","7.5","31.3","0.9","28.8","10","0.19"
"Tolo Harbour and Channel","TM3","2018-07-09","1","Surface Water","4.5","6","8.2","29.6","1","28.8","4.7","<0.01"
"Tolo Harbour and Channel","TM3","2018-07-09","1","Middle Water","4.2","6","8.2","29.6","1","28.9","8.9","<0.01"
"Tolo Harbour and Channel","TM3","2018-07-09","1","Bottom Water","4.6","5.5","8","31.7","1","27.4","8.6","<0.01"
"Tolo Harbour and Channel","TM3","2018-08-17","1","Surface Water","28","9.1","8.6","20.6","1.6","28.7","4.9","0.17"
"Tolo Harbour and Channel","TM3","2018-08-17","1","Middle Water","1.9","8.7","8.3","29.2","0.4","29.6","1.4","0.04"
"Tolo Harbour and Channel","TM3","2018-08-17","1","Bottom Water","1.3","5","8.1","30.7","0.1","29.6","1.5","0.03"
"Tolo Harbour and Channel","TM3","2018-09-19","1","Surface Water","14","7.7","8.6","22.6","1.3","28.9","3.5","0.06"
"Tolo Harbour and Channel","TM3","2018-09-19","1","Middle Water","8.4","6.8","8.4","24.7","0.8","28.2","1.6","0.05"
"Tolo Harbour and Channel","TM3","2018-09-19","1","Bottom Water","1.1","6.2","8.3","28.3","0.4","27.6","2.7","0.07"
"Tolo Harbour and Channel","TM3","2018-10-05","1","Surface Water","3.2","6.4","8.4","28.9","0.4","27.9","7.9","0.03"
"Tolo Harbour and Channel","TM3","2018-10-05","1","Middle Water","3.2","6.3","8.3","28.9","0.5","28.2","9.2","0.02"
"Tolo Harbour and Channel","TM3","2018-10-05","1","Bottom Water","8","6.4","8","30.4","0.9","28.1","8","0.11"
"Tolo Harbour and Channel","TM3","2018-11-05","1","Surface Water","12","6.3","8","31","0.8","24.5","2","0.02"
"Tolo Harbour and Channel","TM3","2018-11-05","1","Middle Water","8.7","6.1","7.9","31.1","0.8","24.5","2.4","<0.01"
"Tolo Harbour and Channel","TM3","2018-11-05","1","Bottom Water","6.5","6.3","7.9","31.7","1.1","24.5","8.7","0.02"
"Tolo Harbour and Channel","TM3","2018-12-07","1","Surface Water","11","7.7","8.2","30.3","0.7","23.3","3.3","0.05"
"Tolo Harbour and Channel","TM3","2018-12-07","1","Middle Water","9.6","7","8.2","30.6","0.9","23.7","3.1","0.03"
"Tolo Harbour and Channel","TM3","2018-12-07","1","Bottom Water","4.9","7","7.9","31","0.7","23.9","4","0.04"
"Tolo Harbour and Channel","TM3","2019-01-03","1","Surface Water","3.5","6.5","8","32.6","1.1","18.3","2.8","0.04"
"Tolo Harbour and Channel","TM3","2019-01-03","1","Middle Water","3.9","7.3","8","32.7","1","18.7","2.6","0.04"
"Tolo Harbour and Channel","TM3","2019-01-03","1","Bottom Water","4.6","7.3","8","32.8","1.1","18.7","2.5","0.04"
"Tolo Harbour and Channel","TM3","2019-02-14","1","Surface Water","1.3","7.3","8.1","31.7","0.3","21.3","7.9","0.06"
"Tolo Harbour and Channel","TM3","2019-02-14","1","Middle Water","1.4","8.4","8.1","31.7","0.3","20.7","7.7","0.06"
"Tolo Harbour and Channel","TM3","2019-02-14","1","Bottom Water","1.3","7.8","8.1","31.9","0.4","20.6","7.8","0.07"
"Tolo Harbour and Channel","TM3","2019-03-18","1","Surface Water","9.3","7.1","8","30.2","0.6","20.5","2.6","0.01"
"Tolo Harbour and Channel","TM3","2019-03-18","1","Middle Water","8.7","6.8","8","30.2","0.5","20.5","2.5","0.01"
"Tolo Harbour and Channel","TM3","2019-03-18","1","Bottom Water","7.5","7.4","7.9","30.6","0.4","20.4","3.8","0.02"
"Tolo Harbour and Channel","TM3","2019-04-01","1","Surface Water","16","4.3","8","31.3","1.2","21.6","2.4","0.04"
"Tolo Harbour and Channel","TM3","2019-04-01","1","Middle Water","14","5.6","8","31.4","1.2","21.7","0.9","0.03"
"Tolo Harbour and Channel","TM3","2019-04-01","1","Bottom Water","14","5.9","8","31.6","0.7","21.7","2.9","0.02"
"Tolo Harbour and Channel","TM3","2019-05-02","1","Surface Water","2","6.2","7.8","30.8","0.4","25.2","1.6","0.04"
"Tolo Harbour and Channel","TM3","2019-05-02","1","Middle Water","6.1","5.3","7.8","30.8","0.4","25.7","13","0.04"
"Tolo Harbour and Channel","TM3","2019-05-02","1","Bottom Water","4","5.4","7.7","31","0.3","25.6","11","0.06"
"Tolo Harbour and Channel","TM3","2019-06-28","1","Surface Water","7.5","5.7","7.7","30.8","0.8","28.3","4.6","0.02"
"Tolo Harbour and Channel","TM3","2019-06-28","1","Middle Water","8.3","4.4","7.6","31.4","0.7","27.8","4.8","0.05"
"Tolo Harbour and Channel","TM3","2019-06-28","1","Bottom Water","6.4","4.2","7.5","32.3","0.7","27","2.8","0.03"
"Tolo Harbour and Channel","TM3","2019-07-11","1","Surface Water","2.6","6.1","8.8","24.6","12.6","32.1","1.8","0.1"
"Tolo Harbour and Channel","TM3","2019-07-11","1","Middle Water","4.7","4.3","8.6","25.1","12.6","31.6","2.1","0.06"
"Tolo Harbour and Channel","TM3","2019-07-11","1","Bottom Water","2.4","4.2","8.4","26.5","7","30.4","2.6","0.19"
"Tolo Harbour and Channel","TM3","2019-08-21","1","Surface Water","5.3","6.8","8.4","31.2","10.2","29.6","1.9","0.05"
"Tolo Harbour and Channel","TM3","2019-08-21","1","Middle Water","20","7.7","8.4","31.6","10.2","29","2.6","0.05"
"Tolo Harbour and Channel","TM3","2019-08-21","1","Bottom Water","27","4.2","8","33.7","10.7","25.8","3.4","0.07"
"Tolo Harbour and Channel","TM3","2019-09-20","1","Surface Water","2.4","5.9","8.4","27.6","3.2","31.3","8.8","0.02"
"Tolo Harbour and Channel","TM3","2019-09-20","1","Middle Water","2","6.6","8.4","28.6","2.6","31.1","12","0.02"
"Tolo Harbour and Channel","TM3","2019-09-20","1","Bottom Water","1.5","6.7","8.3","30.5","2.3","30.3","6.7","0.04"
"Tolo Harbour and Channel","TM3","2019-10-23","1","Surface Water","5.3","6.7","8.2","30.5","2.4","28.5","10","0.01"
"Tolo Harbour and Channel","TM3","2019-10-23","1","Middle Water","5.1","7.5","8.2","30.5","2","28.5","11","0.02"
"Tolo Harbour and Channel","TM3","2019-10-23","1","Bottom Water","5.8","6.2","7.7","32.3","1.9","29.2","13","0.02"
"Tolo Harbour and Channel","TM3","2019-11-25","1","Surface Water","6","8.1","8.1","32.1","1.6","25.2","2.2","0.03"
"Tolo Harbour and Channel","TM3","2019-11-25","1","Middle Water","4.2","8.4","8.1","32.1","1.6","25.2","2.6","0.02"
"Tolo Harbour and Channel","TM3","2019-11-25","1","Bottom Water","13","6.5","7.9","32.8","2.3","24.9","3.9","0.04"
"Tolo Harbour and Channel","TM3","2019-12-05","1","Surface Water","6.4","6.2","8.1","32.6","3.5","21.6","13","0.06"
"Tolo Harbour and Channel","TM3","2019-12-05","1","Middle Water","5.7","6.3","8.1","32.6","2.5","21.6","20","0.05"
"Tolo Harbour and Channel","TM3","2019-12-05","1","Bottom Water","5.5","6.2","8.1","32.6","2.6","21.6","18","0.04"
"Tolo Harbour and Channel","TM3","2020-01-16","1","Surface Water","4.2","6.3","8.3","32.4","1.8","20.5","4.9","0.07"
"Tolo Harbour and Channel","TM3","2020-01-16","1","Middle Water","2.8","6.6","8.3","32.4","1.9","20.5","5","0.06"
"Tolo Harbour and Channel","TM3","2020-01-16","1","Bottom Water","3.2","6.9","8.3","32.4","1.9","20.4","17","0.05"
"Tolo Harbour and Channel","TM3","2020-02-26","1","Surface Water","5.4","7.2","8.4","31.6","0.9","21.4","16","0.08"
"Tolo Harbour and Channel","TM3","2020-02-26","1","Middle Water","2.4","7.2","8.4","31.7","0.6","20.4","9.9","0.03"
"Tolo Harbour and Channel","TM3","2020-02-26","1","Bottom Water","2.2","6.3","8.3","32.3","0.7","18.8","19","0.04"
"Tolo Harbour and Channel","TM3","2020-03-05","1","Surface Water","11","6.5","8.1","30.9","1.7","20.3","8.6","0.09"
"Tolo Harbour and Channel","TM3","2020-03-05","1","Middle Water","6","7","8.1","31.6","0.7","20.5","6.4","0.03"
"Tolo Harbour and Channel","TM3","2020-03-05","1","Bottom Water","2.4","6.7","8.1","31.8","0.6","20.4","7.7","0.04"
"Tolo Harbour and Channel","TM3","2020-04-29","1","Surface Water","3","6.2","7.6","32","3","24.5","1.5","0.04"
"Tolo Harbour and Channel","TM3","2020-04-29","1","Middle Water","4.5","6.8","7.6","32.1","1.5","24.4","1.7","0.04"
"Tolo Harbour and Channel","TM3","2020-04-29","1","Bottom Water","4.9","6.3","7.6","32.2","1.3","23.9","0.9","0.03"
"Tolo Harbour and Channel","TM3","2020-05-06","1","Surface Water","2.8","6.2","7.8","32.6","1.3","26.4","0.8","0.08"
"Tolo Harbour and Channel","TM3","2020-05-06","1","Middle Water","3.3","5.8","7.8","33","1","25.4","2.1","0.03"
"Tolo Harbour and Channel","TM3","2020-05-06","1","Bottom Water","1","5.9","7.8","33.3","1.7","23.9","1.2","0.05"
"Tolo Harbour and Channel","TM3","2020-06-18","1","Surface Water","11","6","8.3","26.6","4.2","30.5","15","0.02"
"Tolo Harbour and Channel","TM3","2020-06-18","1","Middle Water","7.9","7.1","8.1","29.2","1","29.3","14","0.03"
"Tolo Harbour and Channel","TM3","2020-06-18","1","Bottom Water","7.5","7.2","7.8","30.3","1.8","28.5","10","0.04"
"Tolo Harbour and Channel","TM3","2020-07-22","1","Surface Water","7.6","6.3","8","33.3","2.8","29.1","13","0.04"
"Tolo Harbour and Channel","TM3","2020-07-22","1","Middle Water","4.9","6","8","33.7","2.5","29","12","0.04"
"Tolo Harbour and Channel","TM3","2020-07-22","1","Bottom Water","4.3","6.1","8.1","34.1","2.5","28.2","12","0.03"
"Tolo Harbour and Channel","TM3","2020-08-26","1","Surface Water","4.4","6.5","8","30.9","3","29.6","1.4","0.02"
"Tolo Harbour and Channel","TM3","2020-08-26","1","Middle Water","4.7","5.2","8","31.1","2.2","29.3","2","0.03"
"Tolo Harbour and Channel","TM3","2020-08-26","1","Bottom Water","5.3","5","7.9","31.5","2.3","28.5","2.2","0.03"
"Tolo Harbour and Channel","TM3","2020-09-16","1","Surface Water","18","7.4","8.3","20.6","8.2","29.4","14","0.1"
"Tolo Harbour and Channel","TM3","2020-09-16","1","Middle Water","16","6.4","8.2","23.9","3.7","29.5","15","0.07"
"Tolo Harbour and Channel","TM3","2020-09-16","1","Bottom Water","13","6.2","8","30.3","2.7","29.7","13","0.04"
"Tolo Harbour and Channel","TM3","2020-10-16","1","Surface Water","2.8","6.2","8.1","27","2.8","27","2.1","0.2"
