"Water Control Zone","Station","Dates","Sample No","Depth","Chlorophyll-a (μg/L)","Dissolved Oxygen (mg/L)","pH","Salinity (psu)","Turbidity (NTU)","Temperature (°C)","Suspended Solids (mg/L)","Total Inorganic Nitrogen (mg/L)"
"Tolo Harbour and Channel","TM2","1986-08-22","1","Surface Water","4.6","4.4","8.2","24","3.7","29.1","2","0.38"
"Tolo Harbour and Channel","TM2","1986-08-22","1","Middle Water","2.5","4.3","8.2","26.6","2.8","29.5","2.5","0.3"
"Tolo Harbour and Channel","TM2","1986-08-22","1","Bottom Water","0.6","3.4","7.9","27.5","7.3","29.2","6.5","0.17"
"Tolo Harbour and Channel","TM2","1986-09-03","1","Surface Water","8.3","8.6","8.6","31","4","29.8","4.5","0.11"
"Tolo Harbour and Channel","TM2","1986-09-03","1","Middle Water","5.5","4.3","8.3","32.5","3.7","28.9","3","0.18"
"Tolo Harbour and Channel","TM2","1986-09-03","1","Bottom Water","4","1.8","8.2","33","6.4","28.2","4","0.35"
"Tolo Harbour and Channel","TM2","1986-09-17","1","Surface Water","2.7","6.2","8.2","28.9","5.1","29","1.5","0.16"
"Tolo Harbour and Channel","TM2","1986-09-17","1","Middle Water","3.1","6.4","8.2","29.4","3.5","29.1","2.5","0.04"
"Tolo Harbour and Channel","TM2","1986-09-17","1","Bottom Water","4.4","2.6","8","30.2","3.1","29.2","1","0.23"
"Tolo Harbour and Channel","TM2","1986-10-01","1","Surface Water","24","5","8.4","30.7","5","26.8","2.5","0.29"
"Tolo Harbour and Channel","TM2","1986-10-01","1","Middle Water","21","4.2","8.3","30.7","6.5","26.8","4","0.26"
"Tolo Harbour and Channel","TM2","1986-10-01","1","Bottom Water","32","3.3","8.3","30.7","21","26.8","9.5","0.2"
"Tolo Harbour and Channel","TM2","1986-10-15","1","Surface Water","16","3.6","8.2","31.8","2.7","27.2","<0.5","0.15"
"Tolo Harbour and Channel","TM2","1986-10-15","1","Middle Water","6.9","1.6","8.2","32.2","2.2","27","<0.5","0.15"
"Tolo Harbour and Channel","TM2","1986-10-15","1","Bottom Water","4.8","0.9","8.3","32.4","3.2","26.9","0.5","0.22"
"Tolo Harbour and Channel","TM2","1986-10-29","1","Surface Water","7.2","4.6","7.9","30.9","6.5","24.4","5","0.5"
"Tolo Harbour and Channel","TM2","1986-10-29","1","Middle Water","8.6","4.7","7.9","30.8","5.4","24.5","3.5","0.35"
"Tolo Harbour and Channel","TM2","1986-10-29","1","Bottom Water","5.9","5.1","8","31.2","5.1","24.6","6","0.31"
"Tolo Harbour and Channel","TM2","1986-11-12","1","Surface Water","39","7.1","8.4","30.7","2.9","22.2","5.5","0.34"
"Tolo Harbour and Channel","TM2","1986-11-12","1","Bottom Water","6.5","4.8","8.2","32.3","30","22.9","24","0.27"
"Tolo Harbour and Channel","TM2","1986-11-26","1","Surface Water","17","6.3","8.2","30.7","6.2","21","2.5","0.47"
"Tolo Harbour and Channel","TM2","1986-11-26","1","Bottom Water","13","4.6","8.2","30.8","4.9","21.8","3","0.5"
"Tolo Harbour and Channel","TM2","1986-12-10","1","Surface Water","28","6.6","8.4","30.7","4.8","19.3","5","0.43"
"Tolo Harbour and Channel","TM2","1986-12-10","1","Bottom Water","25","4.1","8.3","31.4","9.6","19.8","13","0.24"
"Tolo Harbour and Channel","TM2","1986-12-23","1","Surface Water","8.4","6.6","8.3","30.8","9.5","18.7","3.5","0.76"
"Tolo Harbour and Channel","TM2","1986-12-23","1","Bottom Water","13","5.5","8.2","30.9","5.1","18.6","3.5","0.84"
"Tolo Harbour and Channel","TM2","1987-01-07","1","Surface Water","140","9.2","8.6","28.2","6.1","18.8","9.5","0.3"
"Tolo Harbour and Channel","TM2","1987-01-07","1","Middle Water","78","7.2","8.6","30.1","5.5","18.7","19","0.15"
